TraderName,SampleSize,FirstCapital,LastCapital,Interest,ShortFailFlag,Long TradeCount,Long WinCount,Long LoseCount,Long WinRate,Long LoseRate,Long P/L,Long Profit,Long Loss,Long Cost,Long ProfitFactor,Short TradeCount,Short WinCount,Short LoseCount,Short WinRate,Short LoseRate,Short P/L,Short Profit,Short Loss,Short Cost,Short ProfitFactor,TradeCount,WinCount,LoseCount,WinRate,LoseRate,P/L,Profit,Loss,Cost,ProfitFactor,MaximalDrawdown,DrawdownFactor,ConsecutiveWinCount,ConsecutiveLoseCount
ControlChartBrain(24 55 40 30),73720,2.5E7,3.0639646100968238E7,0.2255858440387295,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,26141621.158,0.003924643609774531,11,12
ControlChartBrain(24 55 40 50),73720,2.5E7,3.0639646100968238E7,0.2255858440387295,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,26141621.158,0.003924643609774531,11,12
ControlChartBrain(24 55 55 50),73720,2.5E7,3.0639646100968238E7,0.2255858440387295,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,26141621.158,0.003924643609774531,11,12
ControlChartBrain(24 55 55 30),73720,2.5E7,3.0639646100968238E7,0.2255858440387295,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,26141621.158,0.003924643609774531,11,12
ControlChartBrain(48 10 10 30),73720,2.5E7,3.0645010308975212E7,0.2258004123590085,OK,1068,547,521,51.217,48.783,37318.966,177870.247,-140551.281,0.000,1.266,1035,515,520,49.758,50.242,67483.968,185349.517,-117865.549,0.000,1.573,2103,1062,1041,50.499,49.501,104802.934,363219.764,-258416.830,0.000,1.406,23448256.417,0.0044695406183226415,11,12
ControlChartBrain(24 10 25 50),73720,2.5E7,3.0639646100968238E7,0.2255858440387295,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,26141621.158,0.003924643609774531,11,12
ControlChartBrain(24 10 25 30),73720,2.5E7,3.0639646100968238E7,0.2255858440387295,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,26141621.158,0.003924643609774531,11,12
ControlChartBrain(24 10 55 30),73720,2.5E7,3.0639646100968238E7,0.2255858440387295,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,26141621.158,0.003924643609774531,11,12
ControlChartBrain(24 10 40 30),73720,2.5E7,3.0639646100968238E7,0.2255858440387295,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,26141621.158,0.003924643609774531,11,12
ControlChartBrain(24 10 10 50),73720,2.5E7,3.0639646100968238E7,0.2255858440387295,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,26141621.158,0.003924643609774531,11,12
